,ranking,artist,title,last_week_rank,peak_position,weeks_on_chart,chart_date
2013-01-26_1,1,will.i.am & Britney Spears,Scream & Shout,0,1,1,2013-01-26
2013-01-26_2,2,Swedish House Mafia Featuring John Martin,Don't You Worry Child,0,2,1,2013-01-26
2013-01-26_3,3,Calvin Harris Featuring Florence Welch,Sweet Nothing,0,3,1,2013-01-26
2013-01-26_4,4,PSY,Gangnam Style,0,4,1,2013-01-26
2013-01-26_5,5,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),0,5,1,2013-01-26
2013-01-26_6,6,Ludacris Featuring Usher & David Guetta,Rest Of My Life,0,6,1,2013-01-26
2013-01-26_7,7,Pitbull Featuring Christina Aguilera,Feel This Moment,0,7,1,2013-01-26
2013-01-26_8,8,David Guetta Featuring Sia,She Wolf (Falling To Pieces),0,8,1,2013-01-26
2013-01-26_9,9,Zedd Featuring Foxes,Clarity,0,9,1,2013-01-26
2013-01-26_10,10,Zedd Featuring Matthew Koma,Spectrum,0,10,1,2013-01-26
2013-01-26_11,11,Swedish House Mafia,Greyhound,0,11,1,2013-01-26
2013-01-26_12,12,Kerli,The Lucky Ones,0,12,1,2013-01-26
2013-01-26_13,13,Usher,Numb,0,13,1,2013-01-26
2013-01-26_14,14,Cazzette,Beam Me Up (Kill-Mode),0,14,1,2013-01-26
2013-01-26_15,15,Havana Brown Featuring R3hab,Big Banana,0,15,1,2013-01-26
2013-01-26_16,16,Calvin Harris Featuring Ellie Goulding,I Need Your Love,0,16,1,2013-01-26
2013-01-26_17,17,Krewella,Alive,0,17,1,2013-01-26
2013-01-26_18,18,Skrillex Featuring Ellie Goulding,Summit,0,18,1,2013-01-26
2013-01-26_19,19,Lenny Kravitz,Superlove,0,19,1,2013-01-26
2013-01-26_20,20,Spandau Ballet,Gold 2012,0,20,1,2013-01-26
2013-01-26_21,21,DJ Fresh Featuring Sian Evans,Louder,0,21,1,2013-01-26
2013-01-26_22,22,Sam And The Womp!,Bom Bom,0,22,1,2013-01-26
2013-01-26_23,23,Eric Prydz,Every Day,0,23,1,2013-01-26
