,ranking,artist,title,last_week_rank,peak_position,weeks_on_chart,chart_date
2011-04-09_1,1,Maximum The Hormone,Utsukushiki Hitobito No Uta,0,1,1,2011-04-09
2011-04-09_2,2,Lady Gaga,Born This Way,0,2,1,2011-04-09
2011-04-09_3,3,Rumer,Slow,0,3,1,2011-04-09
2011-04-09_4,4,Not Yet,Shumatsu Not Yet,0,4,1,2011-04-09
2011-04-09_5,5,Funky Monkey Babys,Runway Beat,0,5,1,2011-04-09
2011-04-09_6,6,KARA,Jet Coaster Love,0,6,1,2011-04-09
2011-04-09_7,7,Sakanaction,Rookie,0,7,1,2011-04-09
2011-04-09_8,8,AKB48,Sakura No Ki Ni Narou,0,8,1,2011-04-09
2011-04-09_9,9,Yuzu,Hey Wa,0,9,1,2011-04-09
2011-04-09_10,10,Far*East Movement Featuring Ryan Tedder,Rocketeer,0,10,1,2011-04-09
2011-04-16_1,1,Lady Gaga,Born This Way,2,1,2,2011-04-16
2011-04-16_2,2,Maximum The Hormone,Utsukushiki Hitobito No Uta,1,1,2,2011-04-16
2011-04-16_3,3,The Bawdies Featuring Al,I Love You Need You,0,3,1,2011-04-16
2011-04-16_4,4,Superfly,You & Me,0,4,1,2011-04-16
2011-04-16_5,5,KARA,Jet Coaster Love,6,5,2,2011-04-16
2011-04-16_6,6,AKB48,Sakura No Ki Ni Narou,8,6,2,2011-04-16
2011-04-16_7,7,Rumer,Slow,3,3,2,2011-04-16
2011-04-16_8,8,Sakanaction,Rookie,7,7,2,2011-04-16
2011-04-16_9,9,The Strokes,Under Cover Of Darkness,0,9,1,2011-04-16
2011-04-16_10,10,Not Yet,Shumatsu Not Yet,4,4,2,2011-04-16
2011-04-23_1,1,Mr. Children,Kazoe Uta,0,1,1,2011-04-23
2011-04-23_2,2,KARA,Jet Coaster Love,5,2,3,2011-04-23
2011-04-23_3,3,Tsuyoshi Domoto,En Wo Yuite,0,3,1,2011-04-23
2011-04-23_4,4,Yumi Matsutoya,Hitotsu No Koi Ga Owaru Toki,0,4,1,2011-04-23
2011-04-23_5,5,Ms. OOJA,Life,0,5,1,2011-04-23
2011-04-23_6,6,UVERworld,Mondo Piece,0,6,1,2011-04-23
2011-04-23_7,7,Morning Musume,Majidesuka Suka!,0,7,1,2011-04-23
2011-04-23_8,8,Lady Gaga,Born This Way,1,1,3,2011-04-23
2011-04-23_9,9,Maximum The Hormone,Utsukushiki Hitobito No Uta,2,1,3,2011-04-23
2011-04-23_10,10,The Bawdies Featuring Al,I Love You Need You,3,3,2,2011-04-23
2011-04-30_1,1,B'z,Sayonara Kizudarake No Hibi Yo,0,1,1,2011-04-30
2011-04-30_2,2,Ms. OOJA,Life,5,2,2,2011-04-30
2011-04-30_3,3,Mr. Children,Kazoe Uta,1,1,2,2011-04-30
