,ranking,artist,title,last_week_rank,peak_position,weeks_on_chart,chart_date
1992-10-03_1,1,Boyz II Men,"End Of The Road (From ""Boomerang"")",0,1,1,1992-10-03
1992-10-03_2,2,Patty Smyth,Sometimes Love Just Ain't Enough,0,2,1,1992-10-03
1992-10-03_3,3,Bryan Adams,Do I Have To Say The Words?,0,3,1,1992-10-03
1992-10-03_4,4,Toad The Wet Sprocket,All I Want,0,4,1,1992-10-03
1992-10-03_5,5,Firehouse,When I Look Into Your Eyes,0,5,1,1992-10-03
1992-10-03_6,6,Elton John,The One,0,6,1,1992-10-03
1992-10-03_7,7,Bobby Brown,Humpin' Around,0,7,1,1992-10-03
1992-10-03_8,8,K.W.S.,Please Don't Go,0,8,1,1992-10-03
1992-10-03_9,9,TLC,Baby-Baby-Baby,0,9,1,1992-10-03
1992-10-03_10,10,Jon Secada,Just Another Day,0,10,1,1992-10-03
1992-10-03_11,11,Hi-Five,She's Playing Hard To Get,0,11,1,1992-10-03
1992-10-03_12,12,Genesis,Jesus He Knows Me,0,12,1,1992-10-03
1992-10-03_13,13,Def Leppard,Have You Ever Needed Someone So Bad,0,13,1,1992-10-03
1992-10-03_14,14,Del Amitri,Always The Last To Know,0,14,1,1992-10-03
1992-10-03_15,15,Charles & Eddie,Would I Lie To You?,0,15,1,1992-10-03
1992-10-03_16,16,Tom Cochrane,Life Is A Highway,0,16,1,1992-10-03
1992-10-03_17,17,INXS,Not Enough Time,0,17,1,1992-10-03
1992-10-03_18,18,Shakespear's Sister,Stay,0,18,1,1992-10-03
1992-10-03_19,19,Guns N' Roses,November Rain,0,19,1,1992-10-03
1992-10-03_20,20,Annie Lennox,Walking On Broken Glass,0,20,1,1992-10-03
1992-10-03_21,21,Color Me Badd,Forever Love,0,21,1,1992-10-03
1992-10-03_22,22,k.d. lang,Constant Craving,0,22,1,1992-10-03
1992-10-03_23,23,Richard Marx,Take This Heart,0,23,1,1992-10-03
1992-10-03_24,24,The Soup Dragons,Divine Thing,0,24,1,1992-10-03
1992-10-03_25,25,En Vogue,Free Your Mind,0,25,1,1992-10-03
1992-10-03_26,26,Celine Dion,Nothing Broken But My Heart,0,26,1,1992-10-03
1992-10-03_27,27,Jade,"I Wanna Love You (From ""Class Act"")",0,27,1,1992-10-03
