,ranking,artist,title,last_week_rank,peak_position,weeks_on_chart,chart_date
2009-06-20_1,1,Green Day,Know Your Enemy,0,1,1,2009-06-20
2009-06-20_2,2,Linkin Park,New Divide,0,2,1,2009-06-20
2009-06-20_3,3,Kings Of Leon,Use Somebody,0,3,1,2009-06-20
2009-06-20_4,4,Seether,Careless Whisper,0,4,1,2009-06-20
2009-06-20_5,5,Papa Roach,Lifeline,0,5,1,2009-06-20
2009-06-20_6,6,Silversun Pickups,Panic Switch,0,6,1,2009-06-20
2009-06-20_7,7,Shinedown,Sound Of Madness,0,7,1,2009-06-20
2009-06-20_8,8,Cage The Elephant,Ain't No Rest For The Wicked,0,8,1,2009-06-20
2009-06-20_9,9,Shinedown,Second Chance,0,9,1,2009-06-20
2009-06-20_10,10,Kings Of Leon,Sex On Fire,0,10,1,2009-06-20
2009-06-20_11,11,Disturbed,The Night,0,11,1,2009-06-20
2009-06-20_12,12,Anberlin,Feel Good Drag,0,12,1,2009-06-20
2009-06-20_13,13,Saving Abel,Drowning (Face Down),0,13,1,2009-06-20
2009-06-20_14,14,Apocalyptica Featuring Adam Gontier,I Don't Care,0,14,1,2009-06-20
2009-06-20_15,15,Incubus,Black Heart Inertia,0,15,1,2009-06-20
2009-06-20_16,16,Rise Against,Audience Of One,0,16,1,2009-06-20
2009-06-20_17,17,311,Hey You,0,17,1,2009-06-20
2009-06-20_18,18,Cavo,Champagne,0,18,1,2009-06-20
2009-06-20_19,19,Dave Matthews Band,Funny The Way It Is,0,19,1,2009-06-20
2009-06-20_20,20,Green Day,21 Guns,0,20,1,2009-06-20
2009-06-20_21,21,Mudvayne,Do What You Do,0,21,1,2009-06-20
2009-06-20_22,22,MGMT,Kids,0,22,1,2009-06-20
2009-06-20_23,23,The Airborne Toxic Event,Sometime Around Midnight,0,23,1,2009-06-20
2009-06-20_24,24,Nickelback,Burn It To The Ground,0,24,1,2009-06-20
2009-06-20_25,25,Slipknot,Dead Memories,0,25,1,2009-06-20
2009-06-20_26,26,Theory Of A Deadman,Hate My Life,0,26,1,2009-06-20
2009-06-20_27,27,Pop Evil,100 In A 55,0,27,1,2009-06-20
2009-06-20_28,28,Halestorm,I Get Off,0,28,1,2009-06-20
2009-06-20_29,29,Franz Ferdinand,No You Girls,0,29,1,2009-06-20
2009-06-20_30,30,The Veer Union,Seasons,0,30,1,2009-06-20
2009-06-20_31,31,Coldplay,Life In Technicolor ii,0,31,1,2009-06-20
2009-06-20_32,32,The Fray,Heartless,0,32,1,2009-06-20
2009-06-20_33,33,U2,Magnificent,0,33,1,2009-06-20
2009-06-20_34,34,Taking Back Sunday,Sink Into Me,0,34,1,2009-06-20
2009-06-20_35,35,Mudvayne,Scarlet Letters,0,35,1,2009-06-20
2009-06-20_36,36,Metallica,All Nightmare Long,0,36,1,2009-06-20
