,ranking,artist,title,last_week_rank,peak_position,weeks_on_chart,chart_date
2011-08-27_1,1,Nicki Minaj,Super Bass,0,1,1,2011-08-27
2011-08-27_2,2,LMFAO Featuring Lauren Bennett & GoonRock,Party Rock Anthem,0,2,1,2011-08-27
2011-08-27_3,3,Katy Perry,Last Friday Night (T.G.I.F.),0,3,1,2011-08-27
2011-08-27_4,4,Bruno Mars,The Lazy Song,0,4,1,2011-08-27
2011-08-27_5,5,Jennifer Lopez Featuring Pitbull,On The Floor,0,5,1,2011-08-27
2011-08-27_6,6,Don Omar & Lucenzo,Danza Kuduro,0,6,1,2011-08-27
2011-08-27_7,7,Pitbull Featuring Marc Anthony,Rain Over Me,0,7,1,2011-08-27
2011-08-27_8,8,Adele,Rolling In The Deep,0,8,1,2011-08-27
2011-08-27_9,9,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",Give Me Everything,0,9,1,2011-08-27
2011-08-27_10,10,Maroon 5 Featuring Christina Aguilera,Moves Like Jagger,0,10,1,2011-08-27
2011-08-27_11,11,Selena Gomez & The Scene,Love You Like A Love Song,0,11,1,2011-08-27
2011-08-27_12,12,Justin Bieber Featuring Ludacris,Baby,0,12,1,2011-08-27
2011-08-27_13,13,Rihanna,Man Down,0,13,1,2011-08-27
2011-08-27_14,14,Adele,Someone Like You,0,14,1,2011-08-27
2011-08-27_15,15,Shakira Featuring Freshlyground,Waka Waka (This Time For Africa),0,15,1,2011-08-27
2011-08-27_16,16,Alexandra Stan,Mr. Saxobeat,0,16,1,2011-08-27
2011-08-27_17,17,Shakira Featuring Pitbull Or El Cata,Rabiosa,0,17,1,2011-08-27
2011-08-27_18,18,Jessie J Featuring B.o.B,Price Tag,0,18,1,2011-08-27
2011-08-27_19,19,Rihanna,California King Bed,0,19,1,2011-08-27
2011-08-27_20,20,Jennifer Lopez Featuring Lil Wayne,I'm Into You,0,20,1,2011-08-27
2011-08-27_21,21,Jay Z Kanye West Featuring Otis Redding,Otis,0,21,1,2011-08-27
2011-08-27_22,22,Beyonce,Best Thing I Never Had,0,22,1,2011-08-27
2011-08-27_23,23,David Guetta Featuring Flo Rida & Nicki Minaj,Where Them Girls At,0,23,1,2011-08-27
2011-08-27_24,24,Demi Lovato,Skyscraper,0,24,1,2011-08-27
2011-08-27_25,25,Drake,Marvins Room,0,25,1,2011-08-27
2011-09-03_1,1,Nicki Minaj,Super Bass,0,1,2,2011-09-03
2011-09-03_2,2,Lady Gaga,You And I,0,2,1,2011-09-03
2011-09-03_3,3,LMFAO Featuring Lauren Bennett & GoonRock,Party Rock Anthem,2,2,2,2011-09-03
2011-09-03_4,4,Katy Perry,Last Friday Night (T.G.I.F.),3,3,2,2011-09-03
2011-09-03_5,5,Don Omar & Lucenzo,Danza Kuduro,6,5,2,2011-09-03
2011-09-03_6,6,Bruno Mars,The Lazy Song,4,4,2,2011-09-03
2011-09-03_7,7,Pitbull Featuring Marc Anthony,Rain Over Me,7,7,2,2011-09-03
2011-09-03_8,8,Jennifer Lopez Featuring Pitbull,On The Floor,5,5,2,2011-09-03
